exp_id,mode,fit_sec,eval_sec,last_loss,valid_hr10,valid_ndcg10,test_hr10,test_ndcg10,users_eval,num_epochs,eval_user_limit,maxlen,hidden_units,num_blocks,num_heads,dropout_rate,lr,batch_size,eval_num_neg
5,fast,2627.813647031784,564.6501801013947,0.908326973950999,0.87358,0.7925389532269055,0.87457,0.7916483182359818,100000.0,3,100000,100,64,3,2,0.15,0.001,512,100
6,fast,2653.907394170761,533.894223690033,0.9110226818396171,0.87267,0.7921722088070489,0.87371,0.7910494246142058,100000.0,3,100000,100,64,3,2,0.2,0.001,512,100
7,fast,2647.7766683101654,550.1993894577026,0.9084688170986136,0.87337,0.792137454531581,0.87412,0.7911623031081072,100000.0,3,100000,100,64,3,4,0.15,0.001,512,100
1,fast,2363.191630601883,447.2564594745636,0.9152808101811017,0.87122,0.7917172184326199,0.87219,0.7902370242023022,100000.0,3,100000,100,64,2,2,0.15,0.001,512,100
2,fast,2415.251172065735,500.49467062950134,0.9187891985892259,0.87102,0.7915433617342283,0.8716,0.7902896670375332,100000.0,3,100000,100,64,2,2,0.2,0.001,512,100
3,fast,2564.789737701416,641.3206794261932,0.9153075638466039,0.87114,0.7914740989772578,0.87231,0.7903857066489736,100000.0,3,100000,100,64,2,4,0.15,0.001,512,100
4,fast,2676.083226442337,461.33346366882324,0.9186276108923979,0.87069,0.7913120185100859,0.87229,0.7902964004151652,100000.0,3,100000,100,64,2,4,0.2,0.001,512,100
